,Data
18138,"scalable, high-availability, low-latency"
18139,Expereince
18140,RESTful services
18142,MongoDB
18143,RabbitMQ
18144,Redis
18145,AWS
18146,Microservices
18147,B.S.
18148,Agile development processes
18149,Scrum/Scrumban
18150,backend architectural changes
18151,IoT products
18152,home automation
18153,Mobile development frameworks
18154,AWS
18155,S3
18156,Lambda
18157,API Gateway
18158,SQS
18159,Terraform
18160,CDK
18161,CloudFront
18162,CloudWatch
18163,RDS
18164,CodePipeline
18165,Active MQ
18166,Maven
18167,NewRelic/DataDog/SumoLogic
18169,REST/gRPC
18170,Hibernate
18171,MySQL
18172,GitHub
18173,the expanding digital advertising space
18174,OTT
18175,our digital advertising stakeholders
18176,observability
18177,service-oriented architecture solutions
18178,your agile scrum team
18179,the automotive digital advertising domain
18180,BA/BS degree
18182,multi-threaded server-side web application development experience
18183,highly optimized and scalable architectures
18184,AWS technologies
18185,Strong Java skills
18186,the J2EE platform
18187,Object-oriented design experience
18188,Dev Ops Systems engineering experience
18189,performance troubleshooting
18190,thread dump analysis
18191,garbage collection configuration
18192,automated tests
18193,observability
18194,logical and physical data modeling
18195,agile development methodologies
18196,"iCIMS, Inc."
18197,a Software Engineer IV (Holmdel
18198,NJ
18199,full-cycle development scalable web
18200,our Labs team
18201,agile team members
18202,new system functionality
18204,designing
18205,flexible/scalable test frameworks
18206,"simple, straightforward solutions"
18208,scalability
18210,Dev Managers
18212,Release and Sprint planning
18213,modules
18214,Mentor Software Engineers
18215,iCIMS’ policies
18216,core competencies
18217,recruiting software
18218,a Bachelor’s degree
18219,back-end or front-end Java
18221,JavaScript
18222,Hibernate
18223,Reactjs
18224,Redux
18225,node.js frameworks
18228,test automation tools
18229,Selenium Webdriver
18230,Appium
18231,JavaScript
18232,testing frameworks
18233,JUnit
18234,TestNG
18235,JEST
18238,TDD
18239,behavioral-driven development
18240,BDD
18241,Continuous Integration
18242,CI
18243,Docker containerization
18244,Jenkins
18245,AWS elastic beanstalk
18246,research emerging software engineering practices
18248,Agile/SCRUM techniques
18249,Fluent Object-Oriented Programming concepts
18251,JVM languages
18252,(Java/Kotlin/Scala/Clojure/Groovy
18256,highly available and scalable solutions
18257,e.g. AWS
18258,frontend development
18259,modern HTML
18260,CSS
18261,JS
18262,(ES2015
18263,the following frameworks
18264,testing methodologies
18265,TDD
18267,".. Independent, fast learner"
18269,multiple widely-used general-purpose programming languages
18271,technical passages
18275,web servers
18277,container platforms
18281,Docker engineers
18282,Docker
18283,Longform software development guides
18287,integrations
18290,technical correctness
18293,Typescript
18294,Redux
18295,APIs
18296,"Engineer build, deployment and release management procedures"
18297,the provisioning
18298,AWS resources
18300,Bachelor’s degree
18302,Typescript
18303,JavaScript
18305,web APIs
18306,AWS services
18307,Lambda
18308,DynamoDB
18309,Agile and DevOps environments
18312,automated testing frameworks
18313,modern cloud architectures
18315,Linux/Unix command line
18316,"clean, maintainable, well organized code"
18318,NoSQL.. Experience
18319,AWS SDKs
18320,(aws-sdk
18321,boto3
18323,Redux
18324,Immutable
18325,demand prediction
18328,actionable and technical deliverables
18329,a communicative and transparent environment
18330,Database fundamentals
18331,MySQL
18332,AWS RDS
18333,AWS Aurora
18334,AWS Sagemaker
18338, Bachelor's degree
18339,Experience/Qualifications 3-6 years
18340,modern full stack dev
18341,UI
18343,JavaScript
18344,HTML5
18346,CSS.Backend
18347,.NET WEB API.Database
18348,Deployment
18349,IIS
18350,TFS
18351,Azure DevOps
18354,Agile Environments
18355,SCRUM
18356,both relational and non-relational database systems
18359,Responsive and prompt communication
18360,Excellent verbal and written communication skills
18361,documentation
18362,Proven and demonstrable evidence
18363,Proven and demonstrable evidence
18364,Object Oriented Development
18365,e.g. Greenhills
18366,QNX
18367,VxWorks
18368,Proven and demonstrable experience
18369,Self starter
18372,e.g. LDRA
18373,Excellent verbal and written communication
18374,Java Microservices
18375,ELK
18376,RDS/Postgres
18377,key architectural decisions
18378,our Saas platform
18379,a near-greenfield environment
18381,UI engineers
18382,a highly collaborative agile development process
18383,containerized micro
18385,Kafka.. Experience building cloud-based RESTful applications
18386,JSON
18388,RESTful APIs
18389,continuous integration
18390,automated testing
18391,Embedded Software
18393,protocols
18394,human-machine interfaces
18395,documentation
18397,Simulation
18398,Verification
18399,Validation
18401, Designing
18403,"a Scientific/Engineering (electronics-engineering, software-engineering, physics, maths) environment"
18404,C/C++/C#/Ada
18405,the software lifecycle
18406,developing embedded software
18407,embedded RTOS platforms
18408, UML
18409, Software modelling tools
18410,Simulink
18411,SCADE
18413,MATLAB
18415,Scrum / Agile development
18417,other configuration management tools
18418,software verification techniques
18419,budget and schedule constraints
18420,A Bachelor's degree
18421,Adobe LiveCycle/Adobe Experience Manger/Workbench Preferred
18422,Javascript
18423,HTML5
18424,CSS
18425,SQL
18426,customer enquiries
18430,Strong customer service ethos
18431,Excellent written and verbal communication skills
18432,Advanced troubleshooting skills
18433,OneFile products
18434,full lifecycle software development
18435,software functionality
18438,technical jargon
18439,Interpersonal Relationships Working experience
18442,Software Product Design/Architecture Basic understanding
18443,record required business functionality
18444,non-functionality requirements
18445,Stakeholder Focus - Basic understanding
18447, Bachelor's degree
18449,Mainframe technologies
18450,Java development experience
18451,RSA Identity Governance
18452,Lifecycle Suite
18453,formerly Aveska
18454,custom provisioning adaptors
18455,custom SOA workflows
18456,The QA Engineer
18458,internal and external stakeholders
18460,organizational goal
18461,thorough communication skills
18462,NoSQL databases
18463,MongoDB
18464,HP Unified Functional Testing
18465,UFT
18467,software quality assurance testing concepts
18469,agile product model environment
18470,SQL
18471,SQL resources
18472,Web Applications and/or Web Service environments
18473,Thorough experience
18474,JIRA
18475,similar agile resources
18476,Thorough experience
18477,HP ALM
18478,HP LoadRunner
18479,Selenium
18480,ReadyAPI
18481,UI
18482,Key Skill- Python
18483,Django
18484,NLP
18485,AWS
18486,S3
18487,RDS
18488,Cloudformation
18489,Lambda
18490,serverless
18491,Docker
18492,Git/Bitbucket
18493,scalable code
18494,Python programming language
18495,Testing and debugging applications
18497,Postgres
18498,functionality
18499,Django/Flask Framework
18500,(AWS
18501,RESTApi Development Software Design paradigm knowledge
18502,debug
18503,serviceability
18504,our field deployment
18506,e.g. VMware
18507,Citrix
18509,internal and external knowledge bases
18512,the Nutanix stack
18513,Excellent verbal/written communication
18516,Virtualization
18517,preferably VMware ESXi
18518,Networking
18520,Linux Systems
18521,preferably CLI administration
18522,CS
18523,BTech/MS/MTech
18524,development and design fundamentals
18525,development and design fundamentals
18526,ASP.NET
18527,MVC
18528,Web API
18529,development and design fundamentals
18530,client frameworks
18531,ReactJS
18532,JQuery
18533,AngularJS
18534,Javascript
18535,development and design fundamentals
18536,NoSQL DB
18537,frameworks
18538, Kafka
18539,         10.Strong debugging skills and experience troubleshooting customer
18540,enterprise level 3-tier software applications
18541,Qualifications Bachelor's degree
18542,best design and coding practices
18544,PHP
18545,HTML/CSS
18546,JavaScript
18547,REST API
18548,OAUTH
18549,JWT
18550,OOP
18551,CI/CD pipelines
18552,up(Gitlab
18553,Agile frameworks
18555,Kanban
18556,XP
18557,"
         Python Django Lead   Experience"
18558, Hyderabad Immediate joiners
18560,the Django framework
18561,a relational database
18562,"i.e., PostgreSQL"
18563,MySQL
18564,RESTful APIs
18566,cloud-based Python Django software products
18567,"architectural, design, and development discussions"
18568,CI/CD process
18569,Azure deployment experience
18570,an agile environment
18572,the AWS Cloud Architecture/solution
18573,AWS service
18574,tech-stack
18575,networking security
18577,Profound knowledge
18580,programing languages
18581,cloud platform deployment and networking protocols
18582,performance optimization
18583,CICD pipelines
18584,"Terraform, Bit bucket, AWS CodeBuild"
18585,automated infrastructure deployment
18586,AWS Services
18588,EMR
18589,S3
18590,SNS
18591,SQS
18593,Redshift
18594,Lambda
18595,RDS
18596,Dynamo DB
18597,Beanstalk
18598,AWS Cloud
18600,Informatica Power center
18601,Alteryx
18602,Tableau
18603,Microsoft SQL
18604,Oracle
18605,Cognos
18607,Linux and Windows OS
18608,Drive platform/product DevOps agile teams
18610,POC
18611,Software Licenses
18612,their renewals
18613,operating efficiencies
18614,application deployment issues
18615,deployment
18616,system configurations
18617,CICD pipelines
18618,Terraform
18619,Bitbucket
18620,AWS CodeBuild
18621,AWS Services
18623,EMR
18624,S3
18625,SNS
18626,SQS
18628,Redshift
18629,Lamda
18630,EC2
18631,Beanstalk
18632,Linux system administration
18633,AWS Infrastructure Provisioning
18634,premise data centers
18635,AWS Services
18637,EMR
18638,S3
18639,SNS
18640,SQS
18642,Redshift
18643,Lamda
18644,EC2
18645,Beanstalk
18646,Agile teams
18647,agile and collaboration tools
18648,Jira
18650,stakeholders
18652,the agile development environment
18653,deployment
18654,Bachelor’s degree
18655,networking security
18657,Bangalore
18658,8 PM IST
18662,Fundamentals Background
18663,JEE Java Spring Development - Hands
18664,Java/JEE
18665,Spring MVC
18666,Spring Batch Junit
18667,AMQP
18668, - Added advantage API development hands
18670,RAML
18671,Open API Spec knowledge
18672,MuleSoft
18673,agile environment
18674,• BE/B.Tech degree
18675,UX
18676,API
18677,computer science algorithms
18678,existing architectures
18679,(SVN/GIT
18680,existing codebases
18681,full software development lifecycle
18682,SLDC
18683,Eagerness
18685,Windows OS architecture
18686,• NoSQL technologies
18687,MongoDB
18689,Hadoop
18690,scalability
18691,(C/C++/C#/Perl/Python/Java
18692,non-windows OS's (UNIX
18693,Linux
18694,Tech Stack
18695,Azure/AWS
18696,Jenkins pipeline
18697,SVN
18698,GitLab
18699,·Bachelor’s degree
18700,Electrical / Electronics / Software Engineering
18701,Asp.Net
18702,Html/JavaScript
18703,basic SQL
18706,Bangalore
18707,the Managed Cloud Shared Services Infrastructure team
18709,an SRE
18710,technical dependencies
18712,resiliency
18713,SREs
18714,operability
18715,the Oracle Cloud
18716,an SRE
18719,the Oracle Cloud service portfolio
18720,performance attributes
18726,metrics
18727,the service behaviours
18728,resiliency
18729,recoverability
18730,backup / restore and disaster recovery capabilities
18731,automation
18732,orchestration
18733,Automation
18735,the ultimate escalation point
18736,SOPs
18738,an SME
18739,service topology
18741,mitigations
18742,Broad Interests - SREs
18743,Application/DB admin and development Engineers
18745,SRE - Proactive
18746,SRE
18748,DevOps
18749,Oracle Cloud Infrastructure (OCI) experience
18750,networking
18754,Bash
18755,Devops
18756,Dockers/GIT/Jenkins
18757,Integrations
18758,UNIX
18759,LINUX commands
18761,management and vulnerability remediation
18762,complex and highly scalable products
18764,DataGuard and DR solution decisions
18765,the automation tools
18767,continual technical improvements
18768,schedules
18769,SLA
18770,Nightshifts
18771,Java development environment
18772,Maven
18774,the production and nonproduction environment
18775,API Platform capabilities
18776,Apigee Edge SaaS
18777,Microgateway
18778,JWT
18779,External Identity Mapping
18780,SwaggerHub
18781,Datadog
18782,API common framework
18783,existing API
18784,Kubernetes/Azure
18785,Open Source frameworks
18786,mentorship
18787,continuous process improvement initiatives
18788,new API products
18790,new API products
18791,WI infrastructure needs
18792,the API Platform offering
18793,Enterprise Cloud computing
18794,Bachelor's degree
18795,Spring MVC / Spring Core / Web Services
18796,web containers
18797,IDE’s Spring Tool Suite
18798,Eclipse
18799,a UNIX and Windows environment
18800,Continuous Integration/ Deployment
18801,CI/CD
18802,Jenkins
18803,Maven
18804,uDeploy
18805,self-starter
18806,docker
18807,cloud-computing / cloud services platforms
18808,e.g. AWS
18809,Agile/Scrum methodology
18810,"highly scalable, resilient, and high-performance architecture"
18811,the latest open-source Java technologies
18812,Messaging Services
18813,open source SQL / NoSQL databases
18814,OOAD
18815,GOF
18816,object-oriented languages
18817,paradigms
18818,JAVA programming skills
18819,multi-threaded and data structures
18821,core Java
18822,Hibernate
18826,Rails project
18827,an agile environment
18828,Git version control system
18830,HTML
18831,CSS
18832,javascript
18833,jquery
18835,CanCan
18839,well structured and documented code
18840,OOP
18841,MVC
18842,#NAME?
18843,Core Java API development
18844,Angular web framework
18845,any MVC framework
18846,Play/Spring/Grails/Struts
18847,Hibernate/JPA
18848,AWS cloud services
18849,Strong OOP fundamentals
18850,XML
18851,JSON
18852,AJAX
18853,RDBMS
18854,NoSQL
18855,Web socket
18857,JIRA
18858,database schemas
18863,Full Stack Web Development
18864, Asp.Net MVC
18865, HTML5.0
18866,CSS
18867,JQuery/Javascript
18868,Bootstrap
18869, SQL
18870,ADO.NET
18871, SSIS
18872, SSRS
18873,WCF
18874,Web APIs
18877,SSIS
18878,SSRS
18879,SQL Stored Procedures
18880," Team work, interpersonal and organizational skills"
18881, Excellent written and verbal communication
18882,MS SQL Development
18883, Excellent troubleshooting and debugging skills
18884,SQL Server Stored Procedures
18885,SQL Server Reporting Services
18886,SSRS
18887,SQL Server Integration Services
18888,SSIS
18889,a large-scale data warehouse environment
18891,new ETL processes
18893,"smart, innovative, and effective visualization methods"
18894,CDC
18896,Excellent troubleshooting
18897,SQL Server Stored Procedures and SSIS packages
18899,metadata management
18900,the full conversion lifecycle
18901,source/target mappings
18902,transformation logic
18903,a specified deliverable
18904,an intelligent and supportive engineering team
18905,an agile environment
18906,stakeholders
18907,prioritization
18908,stakeholders
18910,"clean, concise code"
18912,subsystems
18914,manual intervention
18915,software lifecycle development experience
18916,the Java Web Development Stack
18917,Object Oriented Analysis
18919,CI toolset
18920,Maven
18921,Jenkins
18922,Jira
18924,XML
18925,JSON
18926,Java code
18927,TDD
18928,BDD
18929,Restful Webservices
18930,JEE containers
18931,Apache Tomcat
18932,other industry standard JEE application servers
18933,Windows and Linux proficiency
18934,Advanced Relational Database Concepts
18935,microservice architecture
18936,Agile
18937,DevOps
18938,modern CI/CD pipelines
18940,ServiceNow
18941,ITSM - Incident Management
18942,Service Portal
18943,Service Catalog
18945,UI Policy
18946,UI Scripts
18947,Integration Hub
18948,Rest API
18949,ServiceNow System Administration Certified
18950,Bachelor’s Degree
18951,the Android & IOS platform
18955,SVN
18956,readable code
18957,extensive documentation
18958,the CTO
18960,our smart kitchen appliances
18961,existing codebase
18962,high-quality firmware
18963,our smart kitchen appliances
18964,middleware
18965,UI flows
18966,multi-threaded application development
18967,impactful technical decisions
18968,technical documentation
18969,firmware design
18970,"electrical, mechanical, software(applications) teams"
18972,roadblocks
18973,test scripts
18976,the manufacturing test fixtures
18977,our SDK
18979,daily tastings
18982,embedded firmware
18983,C++ - Shipped production code
18985,FreeRTOS
18986,SQLite Database
18987,ARM Cortex-M0/M3/M4
18988,GNU toolchain
18989,most standard peripherals
18990,embedded processors
18991,e.g. SPI
18992,UART
18993,I2C
18994,USB
18995,DMA
18996,Electrical/Electronics Engineering or Computer Science
18997,electromechanical motion systems
18998,servo control
18999,stepper motors
19001,robotics - Experience
19002,a multi-threaded real-time operating system
19003,agile software development methodologies
19004,electronics schematics
19005,circuit diagrams - Experience
19006,software/firmware
19007,manufacturing test fixtures
19008,network stacks
19010,MQTT
19011,GIT
19012,Greengrass
19013,Google Cloud IoT
19014,Docker / Kubernetes
19016,Kafka
19017,Candidate’s Profile Job Experience
19018,Informatica Big data Developer
19019,BDM
19020,Hadoop environment
19021,Informatica Power exchange
19022,PWX
19024,Impala
19025,complex mappings
19026,Informatica Big data Developer
19027,Informatica power exchange
19029,troubleshoot
19031,CDP
19032,Kafka
19033,      Excellent SQL knowledgeSoft
19035,vendors
19036,stakeholders
19041,Microservice Architecture Concepts
19042,GRPC
19043,Kafka(Event based model
19044,Elasticsearch
19045,any NoSQL Database
19046,Couchbase(preferable
19047,MongoDB
19049,SQL
19050,designing
19051,microservices
19052,Cloud Platform - Docker / Kubernetes/ CI/CD/AWS
19053,automated tests
19054,performance tuning
19055,Qualifications Bachelor's degree
19056,HTML
19057,JavaScript
19058,VBScript/ASP
19059,MS SQL Server
19060,MySQL Knowledge
19061,agile development environment
19062,Typescript
19064,full stack .Net platform
19065,ASP.NET
19066,ADO.NET
19067,VB.NET
19068,WCF/Webservices
19069,JQuery
19070,SQL
19071,DOJO framework
19073,Oracle
19074,MS SQL
19075,elastic search
19076,GIT
19077,JENKINS
19078,Azure DevOps offering
19079,Azure Pipelines
19081,secure coding standards
19082,SDLC
19083,Excellent verbal and written communication skills
19084,organizational skills
19085,• Excellent debugging and analysis skills
19087,100% agile/SCRUM methodologies
19088,daily sprint standups
19089,performance tuning/improvement
19090,"
         BE/BTECH degree"
19091,Java development
19092,springboot
19093,Java EE platforms
19094,Object Oriented analysis
19095,Profound insight
19096,JEE internals
19097,Classloading
19099,SQL
19100,ORM
19101,JPA2
19102,Hibernate
19103,DBA
19104,a Sun Certified Java Developer
19105,scalable technical designs
19107,other stakeholders
19109,Support SRE teams
19110,overall deployment architecture
19111,Full Stack Developer
19112,JavaScript eco system
19113,frameworks
19114,vanilla JS
19117,a Software Archtect/Lead
19118,relational and document storage
19119,CouchDB
19121,MongoDB
19123,container management systems
19124,Docker
19125,Kubernetes
19126,OpenShift
19127,IBM ID
19128,ADFS
19129,OIDC
19130,Distributed architecture design and implementation experience
19131,IBM Cloud/Azure/AWS
19132,Micro Services architecture
19133,Service Mesh
19134,API-based integration
19135,related technologies(API Gateways
19136,API Management solutions
19137,DNS
19138,REST/JSON
19139,OAuth
19140,"a collaborative, team based Agile project environment"
19142,e.g. shell scripting
19144,perl
19145,Ansible
19147,troubleshooting skills
19148,GIT
19149,JavaScript
19150,similar frameworks
19151,NondeJS
19152,"Vue, Feathers"
19153,the Mongo database
19154,continuous integration processes
19155,Jenkins
19156,CircleCI
19157,TeamCity
19158,(AWS
19159,Azure
19160, Demonstrable knowledge
19161,programming fundamentals
19162,development methodologies
19164,clear and concise written communications
19165,Broadpeak customers
19166,Broadpeak Support
19168,the SLA contractual commitments
19169,service continuity
19170,regular preventive maintenance tasks
19171,our customer’s Quality
19173,coordination
19177,telco
19178,a similar networking environment
19179,Linux
19180,IP network
19181, switching and routing protocols
19182,· Internet protocols
19183,FTP
19184,RTSP
19185,TCP
19186,SSH · XML
19187,HTML
19188,Streaming video technologies
19189,IPTV
19190,OTT TV system architectures
19191,· Virtualization experience
19192,VMware
19193,AWS
19194,Azure
19196,Marathi
19202,Senior Frontend Developer
19203,JS
19204,Redux
19205,"Hook, JavaScript syntax Strong experience"
19206,HTML
19207,HTML5
19208,CSS
19209,CSS3
19210,JavaScript Good Exposure
19211,user interface design principles
19212,a user-cantered design process
19213,responsive design
19216,performant and scalable code
19217,a focal point
19218,Solid experience w/ software deployment
19219,Continuous Integration
19220,CI
19221,e.g. Jenkins
19223,fundamental cloud computing architectural concepts
19225,scalability
19226,"e.g. multi-regional/multi-AZ, elasticity"
19227,auto-scaling
19230,inter-group coordination
19231,the modules
19232,the stakeholders
19233,a fast-paced development environment
19234,business analysts
19236,HTML
19237,CSS
19238,SQL
19239,Dot Net Framework
19240,ADO Dot Net
19241,backend developer
19242,SQL Database structure
19243,SQL programming
19244,Bootstrap
19245,CSS
19246,HTML
19247,Typescript
19248,NPM
19249,Backend
19250,Core API
19251,Automation
19252,AutoIT
19253,UIPath
19254,"BluePrism,(preferred"
19255,automation projects
19256,FAP domain
19257,integrations
19258,workarounds
19260,DevOps / Engineering background
19264,Perl
19266,the Linux operating system
19268,measurable results
19269,a self-starter
19270,B.E/B.Tech
19273,Strong organizational skills
19274,Demonstrable track record
19276,measurable results
19277,baseline metrics
19278,operational excellence
19279,Frontend
19280,different permutations
19281,UI testing framework
19282,everyone’s socks
19285,Cordova
19286,Demonstrable knowledge
19288,Kubernetes based containers
19289,Agile and SCRUM development techniques
19290,Backend
19291,different permutations
19292,everyone’s socks
19295,Apache Cordova
19296,Demonstrable knowledge
19298,Kubernetes based containers
19299,Agile and SCRUM development techniques
19300,Typescript
19301,AWS
19302,Cloud-based data warehouse
19303,data warehousing
19304,extensible data acquisition and integration solutions
19305,business reporting and analytics needs
19307,existing data processing workloads
19308,the enterprise data warehouse
19309,"long-term, scalable, and reliable solutions"
19310,data pipelines
19311,CRM
19312,ERP
19313,scalability
19316,standard naming conventions
19319,ad hoc reporting needs
19320,a fast-paced environment
19321,a sprint-based agile development environment
19323,technical and functional designs
19324,query performance
19325,query tuning
19327,Bachelor’s degree
19328,Ince
19329,overall experience building data warehouse solutions
19330,solid data modeling skills
19331,Cloud Data Warehouses
19333,Redshift
19334,DBT models
19335,", data Warehouses platform"
19336,advanced SQL scripting
19338,new-age ETL tools
19339,Fivetran
19340,Matillion
19341,data pipelines
19343,highly scalable ETL/ELT processes
19344,complex data transformations
19345,data formats
19347,troubleshooting skills
19348,Strong verbal and written communication skills
19349,BE/BTech degree
19350,DevOps • Experience
19351,continuous integration
19352,continuous delivery/deployment methodology
19353,Jenkins
19354,highly automated infrastructures
19355,automated testing • Experience
19356,IaC
19357,automation tools
19358,"Ansible, Terrraform, YAML, Helm, and AWS services - Cloud9, CloudFormation • Working knowledge"
19359,cloud environments
19360,AWS
19361,Azure
19362,(GCP
19363,container technologies
19364,Docker
19365,Kubernetes
19368,Bash
19369,Agile Development
19370,e.g. Jira
19371,Github
19372,Bitbucket
19374,deployment workflow
19375,•Provision cloud resources
19376,AWS
19377,Azure
19379,resource utilisation
19380,network setup •Continuously
19381,container technologies
19382,Docker/Kubernetes
19383,MVC architecture
19384,Hyperledger
19385,UI frameworks
19386,cloud environments
19387,AWS
19388,Azure
19389,Strong OOPS programming skills
19391,SVN
19392,Agile software development methodology
19393,Continuous Delivery practices
19394,TDD
19395,BDD
19396,CICD
19397,DevOps process
19399,software estimations
19400,scheduling
19401,Self-reliant and Team player
19403,Bachelor’s degree
19406,APIs
19407,frameworks
19408,micro-services architecture
19409,one or more frameworks
19410,GRPC
19412,CI/CD practices
19413,automated unit tests
19414,automated code deployments
19415,Object Orientated Programming/Design
19416,Restful web services development
19417,Spring 4/5 and microservices development
19418,e.g. SonarQube
19419,CI/CD
19420,Gitlab runner / Junit / Sonar
19422,code quality verification process
19424,the codebase
19426,Cocos2d
19427,Flixel
19429,Pygame
19430,Phaser
19431,frameworks
19433,VB.NET
19434,other object oriented programming language
19435,OOP experience
19436,Autosar configuration tools
19437,preferrable Vector tools
19438,Davinci configurator
19439,Davinci developer
19440,-	Communication stack
19441,LIN
19443,	Strong debugging skills
19448, Microsoft certifications
19449,    Technical Aptitude
19450,Microsoft technology stack
19451,Demonstrated skill sets
19453,the client’s requirements
19455, scenario-based smoke tests
19456,automation scripts
19458,Linux
19460,Demonstrable track record
19461,multiple stakeholders
19462,a project/module
19464,third-party licensing details
19466,multiple stakeholders
19469,documentation
19470,various process automation recommendations
19473,a Product Reliability & Sustenance Engineer
19475,"our Engineering, PO, PSG, SRE, DevOps and L1 support teams"
19476,a global Product Reliability & Sustenance Engineering team
19477,24x7 sustenance support
19480,[24]7.ai’s product and services architecture
19483,escalations
19484,[24]7.ai’s customers
19486,hotfixes
19487,Bachelors or Master’s degree
19489,fast-paced and dynamic SaaS Software Product Development Organization
19490,sustenance support
19491,[24]7.ai’s products
19493,high-profile technical escalations
19495,Java stack
19497,technical bug-fixes
19498,(code-fixes
19499,product defects
19500,technical bug-fixes
19501,code-fixes
19502,(SRE
19503,solutioning
19504,logging
19507,one or more NoSQL database
19508,JSON
19509,RESTful API
19511,SaaS product
19512,AWS
19513,GCP
19514,Azure
19515,Microservices architecture
19516,API
19517,the Conversational AI market
19520,24]7.ai’s technology
19521,"a personalized, predictive and effortless customer experience"
19522,The world’s largest and most recognizable brands
19525,the entire application lifecycle
19526,fully functional mobile applications
19527,UI tests
19528,malfunctions
19529,performance ·        Design interfaces
19530,        Liaise
19531,protocols
19532,● Bachelor's degree
19534,● Extensive experience
19535,Spark
19536,Kafka
19537,● Proven expertise
19539,Core Java
19540,the data pipelines
19541,the ETL pipelines
19542,● Extensive experience
19543,data aggregation layers
19544,● Experience
19545,streaming data ● Processing events
19546,File queuing
19547,Spark
19549,● Experience
19550,Analytics
19551,complex functional and technical requirements
19552,● Extensive work experience
19553,scalable and high performance systems
19554,Linux commands
19556,● Prior experience
19557,CI/CD
19558,Container architecture - Docker/Jenkins
19560,Maven/Ant ● Strong practical experience
19561,multithreading concepts
19562,the Java/Scala based data pipelines
19563,technical excellence
19564,critical modules
19565,new modules
19566,client coordination
19569,Unit Testing and Integration testing
19570,a Continuous Deployment scenario
19571,Agile methodology
19572,JIRA
19573,● Strong verbal and written communication
19574,● Strong sense
19576,timeliness
19581,vuSmartMaps
19582,the customer application architecture and transaction level workflow
19583,metrics
19584,• Analytics
19586,solution gaps
19588,VuNet teams
19590,no SQL databases
19591,Elastic Search
19592,MongoDB
19593,devops
19594,large scale IT infra
19596,automation tools
19597,Linux
19599,an added plus o Elastic search
19600,Kafka
19601,Docker Containers
19602,SQL databases
19603,ELK stack
19604,REST APIs
19605,JMX
19606,visual/interaction designers
19609,iterative development practices
19613,technical forums
19614,frontend development
19615,large complex and performant web applications
19616,Javascript
19617,HTML
19618,CSS
19619,multiple browsers
19620,frameworks
19622,these frameworks
19623,cycles.(MUST
19624,Chrome Dev Tools
19626,perf monitoring
19627,UI optimizations
19630,Strong technical aptitude
19631,CSS fundamentals
19633,the latest UI technologies
19634,distributed architectures
19635,APIs
19636,middleware
19637,internationalization/localization
19638,one or more persistence technologies
19640,Redis
19641,Riak
19642,HBase
19643,RDBMS
19644,ASP.Net
19645,WebAPI
19646,Azure Service
19648,MS-SQL
19652, DevOps Engineer  Location
19653, Jaipur / Hybrid  Experience
19655, B-Tech. / MCA
19657, Azure
19658,(AZ
19659,Kubernetes Certifications
19661,development toolset
19662,Agile methodologies
19663,the common frameworks
19664,optimal data pipeline architecture
19665,functional / non-functional business requirements
19666,#NAME?
19667,greater scalability
19669,SQL
19670,Build analytics tools
19671,actionable insights
19672,operational efficiency
19673,other key business performance metrics
19674,analytics and data scientist team members
19675,data and analytics experts
19676,greater functionality
19677,Docker
19679,Kubernetes
19681,Jenkins
19682,CICD
19683,Docker & Cloud Containers with Kubernetes  • Experience
19684,Google Cloud Platform/AWS/Azure
19685,Denodo technical knowledge
19686,(Azure
19687,GCP
19688,AWS
19689,ANSI SQL paradigms
19691,data transformations
19694,Denodo technical support
19695,ETL
19696,DW
19697,RDBMS
19698,MPP
19699,Presto
19701,Spark
19703,Denodo
19704,the VQL language
19705,the Enterprise Architect space
19706,SQL
19708,Master Data management stacks
19709,SaaS
19710,PaaS
19712,Agile process
19713,Drive deployment
19717,stakeholders
19718,a DevOps focused team
19719,an Agile Scrum team
19720,shippable product increments
19723,internal stakeholders
19725,continuous refactoring
19727,fault tolerant services
19728,PHP
19730,the entire Linux stack
19731,configuration
19732,networking fundamentals
19733,ARP
19734,DHCP
19735,TCP/IP
19736,DNS
19737,routing
19738,iptables
19739,Kubernetes clusters
19740,troubleshooting
19741,tolerant data pipelines
19742,Job Qualifications
19743,Solid Linux OS system management
19744,Kubernetes environments
19745,Configuration
19746,Kubernetes clusters
19747,Automation
19748,Kubernetes API
19749,deployment
19750,daemon-sets
19751,Advantages Kubernetes configuration and management experience
19752,AWS EKS setup
19753,terraform
19755,Fluentd
19757,Istio
19758,Anchore
19759,Falco
19760,Automation
19761,Kubernetes API
19762,deployment/updates/patching/upgrades
19763,"daemon-sets, stateful-sets etc.. Compliance experience"
19764,Firewalls
19765,IDS/IPS systems
19766,DOS prevention
19767,PCI
19768,HIPAA
19769,FedRAMP
19770,Drupal
19771,Design client-side and server-side architecture
19772,appealing visual design
19774,effective APIs
19776,debug
19777,a mobile responsive design
19778,technical documentation
19780,a Full Stack Developer
19781,desktop and mobile applications
19784,(e.g. HTML/ CSS
19785,JavaScript
19786,XML
19787,e.g. PHP
19788,JavaScript frameworks
19789,e.g. Angular
19792,"e.g. MySQL, MongoDB"
19793,", web servers"
19794,e.g. Apache
19795,UI/UX design
19796,Excellent communication and teamwork skills
19797,Organizational skills
19799,backend development
19800,CI/CD automation
19801,Java Spring Boot
19802,JavaScript
19803,ReactJs
19804,integration frameworks
19805,Microservices
