,Data,Result,Reason
12606,backend development methodologies,1,in sample of hard skills
12607,haves,1,unusual word
12608,a COTS implementation project,1,more than one capital letter
12609,MuleSoft,1,in sample of hard skills
12610,Intermediate Software Developer,1,in sample of hard skills
12611,an agile development team building,1,in sample of hard skills
12612,SDR,1,more than one capital letter
12613,The Intermediate Software Developer,1,in sample of hard skills
12614,deployment,1,in sample of hard skills
12615,documentation,1,in sample of hard skills
12616,API development,1,in sample of hard skills
12617,a fast-paced environment,1,in sample of hard skills
12618,deadlines,0,not detected as hard skill
12619,strong organizational skills,1,in sample of hard skills
12620,professionalism,0,not detected as hard skill
12621,key personal attributes,1,in sample of hard skills
12622,document thinkRF’s APIs,1,more than one capital letter
12623,the existing APIs,1,more than one capital letter
12624,software contractors,1,in sample of hard skills
12625,APIs,1,more than one capital letter
12626,support deployment,1,in sample of hard skills
12627,Linux,1,in sample of hard skills
12628,bug fixes,0,not detected as hard skill
12629,troubleshooting,1,unusual word
12630,Qualifications BS,1,more than one capital letter
12631,Python,0,not detected as hard skill
12632,shell scripting proficiencies,1,unusual word
12633,Linux and Windows development environments,1,in sample of hard skills
12634,debugging skills,1,unusual word
12635,object-oriented programming concepts,1,in sample of hard skills
12636,TCP/IP standards,1,more than one capital letter
12637,protocols,1,in sample of hard skills
12638,agile software development,1,in sample of hard skills
12639,Git,0,not detected as hard skill
12640,Strong technical documentation,1,in sample of hard skills
12641,"Strong organizational, tasks planning and scheduling skills",1,in sample of hard skills
12642,MATLAB,1,more than one capital letter
12643,LabView,1,more than one capital letter
12644,GUI,1,in sample of hard skills
12645,Docker,1,unusual word
12646,Cloud/Edge computing,1,in sample of hard skills
12647,network security protocols,1,in sample of hard skills
12648,(SSL,1,more than one capital letter
12649,TLS,1,more than one capital letter
12650,authentication,1,in sample of hard skills
12651,encryption,0,not detected as hard skill
12652,Software Defined Radios,1,in sample of hard skills
12653,SDR,1,more than one capital letter
12654,VITA,1,more than one capital letter
12655,VRT,1,more than one capital letter
12656,HiSLIP,1,more than one capital letter
12657,protocols,1,in sample of hard skills
12658,IVI Foundation,1,more than one capital letter
12659,oscilloscope,1,unusual word
12660,spectrum analyzer,0,not detected as hard skill
12661,signal generators,1,in sample of hard skills
12662,USB driver development,1,more than one capital letter
12663,Linux,1,in sample of hard skills
12664,Familiarity,0,not detected as hard skill
12665,Qt platform,1,in sample of hard skills
12666,Python,0,not detected as hard skill
12667,Affinity,0,not detected as hard skill
12668,a full-time enterprise architect,1,in sample of hard skills
12669,﻿,0,not detected as hard skill
12670,the Enterprise Architect framework,1,in sample of hard skills
12671,enhancement,1,in sample of hard skills
12672,the Scaled Agile framework,1,in sample of hard skills
12673,Agile Teams,1,in sample of hard skills
12674, Leverage,0,not detected as hard skill
12675,reusable assets,1,in sample of hard skills
12676,stakeholders,1,not in english dictionary
12677,concept initiatives,0,not detected as hard skill
12678,Cloud Computing,1,in sample of hard skills
12679,transactional and analytical systems,1,unusual word
12680,emerging technologies,1,in sample of hard skills
12681,vulnerabilities,0,not detected as hard skill
12682,Qualifications   Degree,0,not detected as hard skill
12683,designing,1,in sample of hard skills
12684,complex computing and data systems,1,in sample of hard skills
12685,Enterprise Architecture roles,1,in sample of hard skills
12686, Certification,0,not detected as hard skill
12687,TOGAF,1,more than one capital letter
12688,similar Enterprise Architecture certifications,1,in sample of hard skills
12689,Zachman Framework,1,unusual word
12690,FEAF,1,more than one capital letter
12691,Gartner EAP best practices,1,unusual word
12692,analytics,1,in sample of hard skills
12693,data integration technologies,1,in sample of hard skills
12694,problem-solving skills,0,not detected as hard skill
12695,cloud computing,1,in sample of hard skills
12696,Agile methodologies,1,in sample of hard skills
12697,daily workload,1,in sample of hard skills
12698,other SMEs,1,more than one capital letter
12699,  ·  Develop technical design and software architecture documentation   ·  Lead design/code review,1,in sample of hard skills
12700,POC,1,more than one capital letter
12701,wireframes,1,unusual word
12702,prototypes,0,not detected as hard skill
12703,current and future workflows,1,unusual word
12704,the Quality Assurance team,1,in sample of hard skills
12705,test scenarios,1,in sample of hard skills
12706,full software development life cycles,1,in sample of hard skills
12707,SDLC,1,more than one capital letter
12708,presentations,0,not detected as hard skill
12709,Qualifications / Skills,0,not detected as hard skill
12710,scalable web-based applications   ·  In-depth knowledge,1,unusual word
12711,the Microsoft technology stack,1,in sample of hard skills
12712,Entity Framework,1,in sample of hard skills
12713,REST APIs,1,more than one capital letter
12714, Knowledge and experience with Angular    ·  Experience,1,in sample of hard skills
12715,an agile development process,1,in sample of hard skills
12716,Scrum and backlog management tools,1,in sample of hard skills
12717,lending,0,not detected as hard skill
12718,multiple stakeholders,1,in sample of hard skills
12719,differing opinions   ·  Meticulous thinker,0,not detected as hard skill
12720,all stakeholders,1,not in english dictionary
12721,i.e. technical architects,1,in sample of hard skills
12722,re-usable components,0,not detected as hard skill
12723, Affinity Earn,0,not detected as hard skill
12724,"up to $4,000/year",0,not detected as hard skill
12725,each successful referral,0,not detected as hard skill
12726,Affinity Earn,0,not detected as hard skill
12727,our referral program,1,in sample of hard skills
12728,https://www.linkedin.com/company/affinity-staffing/jobs/.,1,not in english dictionary
12729,Affinity,0,not detected as hard skill
12730, Affinity,0,not detected as hard skill
12731,a mutually beneficial partnership,0,not detected as hard skill
12732,an affinity,0,not detected as hard skill
12733,recruiting,1,in sample of hard skills
12734,Transparency,0,not detected as hard skill
12735,Agility,0,not detected as hard skill
12736,Affinity Staffing,1,in sample of hard skills
12737,www.affinity-group.ca  Job Number,1,not in english dictionary
12738,GUIs,1,more than one capital letter
12739,frontend UI/UX applications,1,unusual word
12740,middleware,1,unusual word
12741,our industry-leading software-defined radio (SDR) products,1,in sample of hard skills
12742,   Responsibilities The Intermediate Software Developer,1,in sample of hard skills
12743,deployment,1,in sample of hard skills
12744,documentation,1,in sample of hard skills
12745,API development,1,in sample of hard skills
12746,a fast-paced environment,1,in sample of hard skills
12747,deadlines,0,not detected as hard skill
12748,strong organizational skills,1,in sample of hard skills
12749,professionalism,0,not detected as hard skill
12750,key personal attributes,1,in sample of hard skills
12751,reviewing requirements,0,not detected as hard skill
12752,GUIs,1,more than one capital letter
12753,APIs,1,more than one capital letter
12754,UI/UX applications,1,in sample of hard skills
12755,scalability,1,unusual word
12756,portability,1,unusual word
12757,usability,0,not detected as hard skill
12758,deployment/operation,1,in sample of hard skills
12759,GUIs,1,more than one capital letter
12760,UI/UX applications,1,in sample of hard skills
12761,Linux/Windows OS platforms,1,in sample of hard skills
12762,Web/Cloud/SaaS based solutions,1,in sample of hard skills
12763,programmable test equipment,1,in sample of hard skills
12764,spectrum monitoring,1,in sample of hard skills
12765,frameworks,1,in sample of hard skills
12766, Qualifications,0,not detected as hard skill
12767,GUIs,1,more than one capital letter
12768,UI/UX applications,1,in sample of hard skills
12769,PC/web/cloud based environments,1,in sample of hard skills
12770,customer impacting features,1,in sample of hard skills
12771,an agile environment,1,in sample of hard skills
12772,end-user’s applications,1,in sample of hard skills
12773,other middleware,1,unusual word
12774,Linux,1,in sample of hard skills
12775,Java/JavaScript,1,in sample of hard skills
12776,Experience interfacing test equipment,1,in sample of hard skills
12777,other embedded system,1,in sample of hard skills
12778,Ethernet,0,not detected as hard skill
12779,USB,1,more than one capital letter
12780,PCIe,1,more than one capital letter
12781,other industry-standard interfaces,1,in sample of hard skills
12782,embedded processor environments,1,in sample of hard skills
12783,"verified, documented and defect-free software",1,in sample of hard skills
12784,agile methodologies,1,in sample of hard skills
12785,Git,0,not detected as hard skill
12786,corresponding tasks/Sprints,0,not detected as hard skill
12787,a resource efficient and user-centric design,1,in sample of hard skills
12788,"Strong organizational, task planning and scheduling skills",1,in sample of hard skills
12789,cloud/web/mobile-based and IoT applications development,1,in sample of hard skills
12790,frameworks,1,in sample of hard skills
12791,Node.js,0,not detected as hard skill
12792,Meteor,0,not detected as hard skill
12793,MongoDB,1,more than one capital letter
12794,DDP.. Experience,1,more than one capital letter
12795,Python,0,not detected as hard skill
12796,Docker/Container.. Experience,1,unusual word
12797,Cloud/Edge computing,1,in sample of hard skills
12798,network security protocols,1,in sample of hard skills
12799,SSL,1,more than one capital letter
12800,TLS,1,more than one capital letter
12801,authentication,1,in sample of hard skills
12802,encryption,0,not detected as hard skill
12803,Software-Defined Radios,1,in sample of hard skills
12804,industrial interoperability protocols,1,unusual word
12805,measurement equipment,1,in sample of hard skills
12806,HiSLIP,1,more than one capital letter
12807,SCPI,1,more than one capital letter
12808,VITA-49 Radio Transport protocol,1,more than one capital letter
12809,Affinity,0,not detected as hard skill
12810,"E-Comm, POS",1,in sample of hard skills
12811,talented colleagues,0,not detected as hard skill
12812,Net Core/SQL,1,in sample of hard skills
12813,Ecommerce Platforms,1,in sample of hard skills
12814,automation,1,in sample of hard skills
12815,existing functionality,1,in sample of hard skills
12816,Investigate/troubleshoot reported issues,1,unusual word
12817,code fixes,1,in sample of hard skills
12818,design and brainstorming sessions,1,in sample of hard skills
12819,constructive feedback,0,not detected as hard skill
12820,system integrations,1,in sample of hard skills
12821,• Bachelor’s degree,1,in sample of hard skills
12822,MySQL,1,in sample of hard skills
12823,SQL Server,1,in sample of hard skills
12824,Azure,1,in sample of hard skills
12825,AWS,1,in sample of hard skills
12826,Agile development,1,in sample of hard skills
12827,Scrum,0,not detected as hard skill
12828,Kanban,1,unusual word
12829,Jira,1,unusual word
12830,automated testing,1,in sample of hard skills
12831,deployment,1,in sample of hard skills
12832,Bamboo,0,not detected as hard skill
12833,Jenkins,1,not in english dictionary
12834,Git,0,not detected as hard skill
12835,• Excellent communication abilities,1,in sample of hard skills
12836,a chosen technology stack,1,in sample of hard skills
12837,technical and non-technical audiences,1,in sample of hard skills
12838,Believer,0,not detected as hard skill
12839,clean and maintainable code,1,in sample of hard skills
12840,smart coding,1,in sample of hard skills
12841,DevOps,1,in sample of hard skills
12842,• Openness,0,not detected as hard skill
12843,Payment gateway,0,not detected as hard skill
12844,POS,1,in sample of hard skills
12845,E-comm platforms,1,in sample of hard skills
12846,Ruby,0,not detected as hard skill
12847,Rails,0,not detected as hard skill
12848,Xamarin iOS development,1,unusual word
12849,Affinity,0,not detected as hard skill
12850,Affinity,0,not detected as hard skill
12851,a mutually beneficial partnership,0,not detected as hard skill
12852,an affinity,0,not detected as hard skill
12853,recruiting,1,in sample of hard skills
12854,Transparency,0,not detected as hard skill
12855,Agility,0,not detected as hard skill
12856,the technical expertise,1,in sample of hard skills
12857,project coordination,1,in sample of hard skills
12858,swift and consistent resolutions,0,not detected as hard skill
12859,the LMS Suite,1,more than one capital letter
12860,Lifecycle Management Suite,1,in sample of hard skills
12861,the core banking processor,1,in sample of hard skills
12862,over 500 live customers,1,in sample of hard skills
12863,the LMS suite,1,more than one capital letter
12864,The five modules,1,in sample of hard skills
12865,the LMS suite,1,more than one capital letter
12866,Loan Origination,1,in sample of hard skills
12867,Account Origination,1,unusual word
12868,tight deadlines,0,not detected as hard skill
12869, Ø   Web application experience,1,in sample of hard skills
12870,MVC,1,in sample of hard skills
12871,WCF,1,more than one capital letter
12872,Ø    Customer Support Experience,1,in sample of hard skills
12873,a ticketing system,1,in sample of hard skills
12874,Bootstrap,1,unusual word
12875, Ø,0,not detected as hard skill
12876,defects,0,not detected as hard skill
12877,modules,1,in sample of hard skills
12878, KEY RESPONSIBILITES  ·        Run queries,1,in sample of hard skills
12879,defects,0,not detected as hard skill
12880,user functionality,1,in sample of hard skills
12881,technical implementations issues,1,in sample of hard skills
12882,software installations,1,in sample of hard skills
12883,upgrades,0,not detected as hard skill
12884,the turbulent nature,0,not detected as hard skill
12885,high adaptability,1,unusual word
12886,deadlines,0,not detected as hard skill
12887,·        Bachelor's degree,1,in sample of hard skills
12888,  ·        Software Proficiency,1,in sample of hard skills
12889,ADO,1,more than one capital letter
12890,MVC,1,in sample of hard skills
12891,WCF,1,more than one capital letter
12892,LINQ,1,more than one capital letter
12893,WEB API,1,in sample of hard skills
12894,JavaScript,1,in sample of hard skills
12895,jQuery,1,unusual word
12896,BootStrap,1,more than one capital letter
12897,a must   ·        Strong problem-solving skills,0,not detected as hard skill
12898,Accessibility,0,not detected as hard skill
12899,varying hours,0,not detected as hard skill
12900,Affinity,0,not detected as hard skill
12901, Affinity,0,not detected as hard skill
12902,a mutually beneficial partnership,0,not detected as hard skill
12903,an affinity,0,not detected as hard skill
12904,recruiting,1,in sample of hard skills
12905,Transparency,0,not detected as hard skill
12906,Agility,0,not detected as hard skill
12907,Affinity,0,not detected as hard skill
12908,QA,1,more than one capital letter
12909,API testing and database systems concepts,1,in sample of hard skills
12910,corrective actions,0,not detected as hard skill
12911,quality assurance metrics,1,in sample of hard skills
12912,general debugging,1,in sample of hard skills
12913,diagnostic analysis,1,in sample of hard skills
12914,  ·  Perform troubleshooting and root cause analysis,1,unusual word
12915,emerging test automation tools,1,in sample of hard skills
12916,procurement and development efforts,1,in sample of hard skills
12917,mitigation strategies,0,not detected as hard skill
12918,documentation,1,in sample of hard skills
12919,functional and non-functional requirements,1,in sample of hard skills
12920,Vue.js,1,unusual word
12921,Node Js   ·  Testing,1,in sample of hard skills
12922,Postman,0,not detected as hard skill
12923,Cypress,0,not detected as hard skill
12924,JMeter,1,more than one capital letter
12925,Fiddler,1,unusual word
12926,Azure DevOps/Visual Studio Team Services,1,in sample of hard skills
12927,Microsoft SQL,1,in sample of hard skills
12928,Mongo DB,1,unusual word
12929,Familiarity,0,not detected as hard skill
12930,BDD,1,more than one capital letter
12931,Data Driven frameworks,1,in sample of hard skills
12932,exploratory testing,1,in sample of hard skills
12933,user acceptance testing,1,in sample of hard skills
12934,smoke/sanity testing,1,in sample of hard skills
12935,Cross-browser testing,1,in sample of hard skills
12936,AODA testing,1,more than one capital letter
12937,fiddler,1,unusual word
12938,MongoDb,1,more than one capital letter
12939,MSSQL,1,more than one capital letter
12940,Continuous Integration,1,in sample of hard skills
12941,Continuous Deployment,1,in sample of hard skills
12942,Azure Devops pipelines,1,in sample of hard skills
12943,problem solving,0,not detected as hard skill
12944, Excellent communication and collaboration skills,1,in sample of hard skills
12945,distributed system concepts,1,in sample of hard skills
12946,api/microservices testing,1,not in english dictionary
12947,automation,1,in sample of hard skills
12948,POSTMAN,1,more than one capital letter
12949,any other API testing tool,1,in sample of hard skills
12950,Agile frameworks,1,in sample of hard skills
12951,Agile Test methodologies,1,in sample of hard skills
12952,azure test plans/suites,1,in sample of hard skills
12953,reusable test cases,1,in sample of hard skills
12954,automated testing,1,in sample of hard skills
12955,Cypress,0,not detected as hard skill
12956,a Sr. UI Software Engineer,1,in sample of hard skills
12957,a top-notch engineer,1,in sample of hard skills
12958,elegant solutions,0,not detected as hard skill
12959,impeccable code,1,in sample of hard skills
12960,our Lending and/or Insurance technologies,1,in sample of hard skills
12961,our platform roadmaps,1,in sample of hard skills
12962,a dynamic and fast-paced environment,1,in sample of hard skills
12963,Product Mangers,1,in sample of hard skills
12964,QA,1,more than one capital letter
12965,agile software methodologies,1,in sample of hard skills
12966,a Service-Oriented Architecture,1,in sample of hard skills
12967,SOA,1,in sample of hard skills
12968,"beautiful, meticulous code",1,in sample of hard skills
12969,the talents,0,not detected as hard skill
12970,other SMEs,1,more than one capital letter
12971,technical design and software architecture documentation,1,in sample of hard skills
12972,POC,1,more than one capital letter
12973,wireframes,1,unusual word
12974,prototypes,0,not detected as hard skill
12975,current and future workflows,1,unusual word
12976,the Quality Assurance team,1,in sample of hard skills
12977,test scenarios,1,in sample of hard skills
12978,full software development life cycles,1,in sample of hard skills
12979,SDLC,1,more than one capital letter
12980,presentations,0,not detected as hard skill
12981,Qualifications / Skills,0,not detected as hard skill
12982,scalable web-based applications,1,unusual word
12983,Angular JS  · Experience,1,in sample of hard skills
12984,an agile development process,1,in sample of hard skills
12985,Scrum and backlog management tools,1,in sample of hard skills
12986,user-centric design  · Experience,1,in sample of hard skills
12987,modern front end frameworks,1,in sample of hard skills
12988,Angular/React/Vue,1,unusual word
12989,HTML5,1,in sample of hard skills
12990,CSS,1,more than one capital letter
12991,CSS Preprocessors,1,more than one capital letter
12992,JavaScript,1,in sample of hard skills
12993,UX design prototypes,1,in sample of hard skills
12994,InVision,1,more than one capital letter
12995,modern DevOps practices,1,in sample of hard skills
12996,multiple stakeholders,1,in sample of hard skills
12997,functional deliverables,1,in sample of hard skills
12998,· Meticulous thinker,0,not detected as hard skill
12999,Excellent written and verbal communication,1,in sample of hard skills
13000,conciseness,1,unusual word
13001,lending,0,not detected as hard skill
13002,Android SDK,1,in sample of hard skills
13003,Kotlin,1,in sample of hard skills
13004,old Java code,1,in sample of hard skills
13005,Android SDK understanding,1,in sample of hard skills
13006,the lifecycle,1,in sample of hard skills
13007,OpenSSL,1,more than one capital letter
13008,networking,1,in sample of hard skills
13009,debugging experience,1,unusual word
13010,"a sharper, more flexible, and versatile programmer",1,in sample of hard skills
13011,"concise, well-tested code",1,in sample of hard skills
13012,Python,0,not detected as hard skill
13013,Scala,0,not detected as hard skill
13014,data-pipelines,1,in sample of hard skills
13015,Airflow,0,not detected as hard skill
13016,pipe errors,0,not detected as hard skill
13017,AWS infrastructure,1,in sample of hard skills
13018,"(SQS, Lambda, S3",1,more than one capital letter
13019,DynamoDB,1,more than one capital letter
13020,data pipelines,1,in sample of hard skills
13021,more analytics,1,in sample of hard skills
13022,our connection’s analytics,1,in sample of hard skills
13023,censorship circumvention teams,1,unusual word
13024,data warehousing requirements,1,in sample of hard skills
13025,specifications,0,not detected as hard skill
13026,immense amounts,0,not detected as hard skill
13027,our Amazon Redshift database,1,in sample of hard skills
13028,analytics needs,1,in sample of hard skills
13029,our Periscope dashboards,1,unusual word
13030,Linux,1,in sample of hard skills
13031,MacOS,1,more than one capital letter
13032,Python,0,not detected as hard skill
13033,Apache Airflow,1,in sample of hard skills
13034,Amazon Lambda,1,in sample of hard skills
13035,SQL,1,in sample of hard skills
13036,star schemas/dimensional database design,1,unusual word
13037,strong verbal and written communication skills,1,in sample of hard skills
13038,anti-censorship technologies,1,in sample of hard skills
13039,dashboards,1,unusual word
13040,data visualization,1,in sample of hard skills
13041,JavaScript framework,1,in sample of hard skills
13042,ReactJS,1,more than one capital letter
13043,HTML/CSS,1,in sample of hard skills
13044,Object-oriented Programming Concepts,1,in sample of hard skills
13045,debugging skills,1,unusual word
13046,optimization techniques,1,in sample of hard skills
13047,testing methodologies,1,in sample of hard skills
13048,PowerBI,1,more than one capital letter
13049,Other scripting languages,0,not detected as hard skill
13050,Python,0,not detected as hard skill
13051,PowerShell,1,more than one capital letter
13052,Android SDK,1,in sample of hard skills
13053,Android SDK understanding,1,in sample of hard skills
13054,the lifecycle,1,in sample of hard skills
13055,OpenSSL,1,more than one capital letter
13056,networking,1,in sample of hard skills
13057,debugging experience,1,unusual word
13058,"a sharper, more flexible, and versatile programmer",1,in sample of hard skills
13059,designing,1,in sample of hard skills
13060,the VPN servers,1,more than one capital letter
13061,automation,1,in sample of hard skills
13062,configuration management solutions,1,in sample of hard skills
13063,automation strategies,1,in sample of hard skills
13064,deployment processes,1,in sample of hard skills
13065,a security-first mindset,1,in sample of hard skills
13066,VPN infrastructure maintenance,1,more than one capital letter
13067,optimization,1,in sample of hard skills
13068,Our escalations,1,in sample of hard skills
13069,networking,1,in sample of hard skills
13070,protocols,1,in sample of hard skills
13071,topology,0,not detected as hard skill
13072,Linux,1,in sample of hard skills
13073,network fundamentals,1,in sample of hard skills
13074,TLS,1,more than one capital letter
13075,subnetting,1,unusual word
13076,Linux networking,1,in sample of hard skills
13077,firewalls,1,unusual word
13078,specifically iptables,1,unusual word
13079,nftables,1,unusual word
13080,Ansible,1,unusual word
13081,other configuration automation tools,1,in sample of hard skills
13082,WireGuard,1,more than one capital letter
13083,Pluggable Transports,1,unusual word
13084,OpenVPN,1,more than one capital letter
13085,IPSec,1,more than one capital letter
13086,FreeRadius,1,more than one capital letter
13087,Bind,0,not detected as hard skill
13088,Agile global technology team,1,in sample of hard skills
13089,DEV/QA/PO teams,1,in sample of hard skills
13090,python applications,0,not detected as hard skill
13091,SPDJI,1,more than one capital letter
13092,Application & System Performance tuning,1,in sample of hard skills
13093,internal and external stakeholders,1,not in english dictionary
13094,Bachelor's degree,1,in sample of hard skills
13095,Quantitative Finance,1,in sample of hard skills
13096,lieu,0,not detected as hard skill
13097,a demonstrated equivalence,0,not detected as hard skill
13098,Object Oriented Programming,1,in sample of hard skills
13099,I.E. Java,1,in sample of hard skills
13100,User Interface design,1,in sample of hard skills
13101,NoSql Databases,1,more than one capital letter
13102,(I.E. MongoDB,1,in sample of hard skills
13103,DynamoDB,1,more than one capital letter
13104,Strong Work Ethic,0,not detected as hard skill
13105,Thoughtfulness,1,unusual word
13106,Index/Benchmarks,0,not detected as hard skill
13107,portions,0,not detected as hard skill
13108,new or enhanced (upgrades,0,not detected as hard skill
13109,conversions,0,not detected as hard skill
13110,appropriate standard software development life cycle methodologies,1,in sample of hard skills
13111,organizational strategic direction,1,in sample of hard skills
13112,deliverables,1,unusual word
13113,metrics,1,in sample of hard skills
13114,key project parameters,1,in sample of hard skills
13115,system documentation,1,in sample of hard skills
13116,mentoring,1,not in english dictionary
13117,moderate complexity,0,not detected as hard skill
13118,end-user or enterprise solutions complexity,1,in sample of hard skills
13119,more senior technologists,1,unusual word
13120,Typically a technical Bachelor's degree,1,in sample of hard skills
13121,a Master's degree,1,in sample of hard skills
13122,PL/1,1,more than one capital letter
13123,VB.Net,1,more than one capital letter
13124,RDBMS databases,1,more than one capital letter
13125,such SQL Server,1,in sample of hard skills
13126,Oracle,1,in sample of hard skills
13127,modern software design and development methodologies,1,in sample of hard skills
13128,one or more full release project life cycles,1,in sample of hard skills
13129,modern SCM,1,in sample of hard skills
13130,software configuration management,1,in sample of hard skills
13131,unit and integration test scripting,1,in sample of hard skills
13132,testing methodologies,1,in sample of hard skills
13133,"e.g., Eclipse",1,in sample of hard skills
13134,Good verbal and written communication skills,1,in sample of hard skills
13135,Junit,1,unusual word
13136,Magnolia,0,not detected as hard skill
13137,other headless CMS platforms,1,more than one capital letter
13138,microservices architectures,1,unusual word
13139,Rest/JSON API endpoints,1,more than one capital letter
13140,Git Framework,1,in sample of hard skills
13141,GitHub,1,in sample of hard skills
13142,Agile Methodology,1,in sample of hard skills
13143,Apache Maven,1,in sample of hard skills
13144,Jenkins,1,not in english dictionary
13145,Content Repository API,1,in sample of hard skills
13146,JCR,1,more than one capital letter
13147,New Relic,0,not detected as hard skill
13148,Kibana,1,unusual word
13149,PHP,1,more than one capital letter
13150,a modern PHP Framework,1,more than one capital letter
13151,Symfony/Laravel/FuelPHP,1,unusual word
13152,MySQL and database design,1,in sample of hard skills
13153,at least one Javascript framework,1,not in english dictionary
13154,-,0,not detected as hard skill
13155,"fast paced, evolving environment",1,in sample of hard skills
13156,specifically HTML,1,in sample of hard skills
13157,CSS,1,more than one capital letter
13158,responsive websites,1,not in english dictionary
13159,LAMP Stack Unit testing,1,more than one capital letter
13160,PHPUnit,1,more than one capital letter
13161,SCRUM / Agile methods,1,more than one capital letter
13162,GIT version control,1,in sample of hard skills
13163,coding standards,1,in sample of hard skills
13164,legible code,1,unusual word
13165,Aptitude,0,not detected as hard skill
13166,Logical thinker,0,not detected as hard skill
13167,Fast learner,1,in sample of hard skills
13168,Self Starter,1,in sample of hard skills
13169,collaborative skills,0,not detected as hard skill
13170,Create and present quality dashboards,1,in sample of hard skills
13171,self-serve analytics,1,in sample of hard skills
13172,KPI reporting,1,more than one capital letter
13173,ad hoc analysis,1,in sample of hard skills
13174,automation,1,in sample of hard skills
13175,data wrangling,1,in sample of hard skills
13176, Develop graphs,0,not detected as hard skill
13177,presentations,0,not detected as hard skill
13178,problematic areas,0,not detected as hard skill
13179,correction,0,not detected as hard skill
13180,daily operational tasks,1,in sample of hard skills
13181,queries,0,not detected as hard skill
13182,daily/monthly reporting suite,1,in sample of hard skills
13183, Advanced SQL,1,in sample of hard skills
13184,reporting & visualisation tools,1,in sample of hard skills
13185,Tableau/Power BI,1,unusual word
13186, Excel proficiency,0,not detected as hard skill
13187,Python/R.,1,in sample of hard skills
13188, Exceptional data wrangling skills,1,in sample of hard skills
13189,complex disparate datasets,1,unusual word
13190,the analytics workflow,1,in sample of hard skills
13191,Big Query,1,in sample of hard skills
13192,advantageous..  Experience,1,in sample of hard skills
13193,web analytics tools,1,in sample of hard skills
13194,an advantage - Omniture / Google Analytics,1,unusual word
13195, Familiarity,0,not detected as hard skill
13196,eGaming KPIs,1,unusual word
13197,terminology,0,not detected as hard skill
13198,a predefined test strategy,1,unusual word
13199,scripting tests,0,not detected as hard skill
13200,a modern and innovative automation framework,1,in sample of hard skills
13201,Your natural problem-solving skills,0,not detected as hard skill
13202,inquisitive mind,1,unusual word
13203,ISTQB,1,more than one capital letter
13204,ISEB tester certificate,1,more than one capital letter
13205,a fast-paced Agile team,1,in sample of hard skills
13206,Growth mindset mentality,1,not in english dictionary
13207,automated testing,1,in sample of hard skills
13208,technical and non-technical stakeholders,1,in sample of hard skills
13209,constructive feedback,0,not detected as hard skill
13210,gaps,0,not detected as hard skill
13211,exploratory tests,0,not detected as hard skill
13212,all Agile rituals,1,in sample of hard skills
13213,standups,1,unusual word
13214,retros,1,unusual word
13215,Gherkin syntax,1,unusual word
13216,existing automated acceptance tests,1,in sample of hard skills
13217,Javascript,1,not in english dictionary
13218,user documentation,1,in sample of hard skills
13219,the backlog,0,not detected as hard skill
13220,Track quality metrics,1,in sample of hard skills
13221,advocacy,0,not detected as hard skill
13222,the wider QA community,1,more than one capital letter
13223,brief gherkin scenarios,1,unusual word
13224,API automation tests,1,in sample of hard skills
13225,ideally JavaScript,1,in sample of hard skills
13226,TypeScript,1,more than one capital letter
13227,automation Web GUI tests,1,in sample of hard skills
13228,ideally Cypress,0,not detected as hard skill
13229,POSTMAN,1,more than one capital letter
13230,Swagger,0,not detected as hard skill
13231,ideally AWS,1,in sample of hard skills
13232,Excellent debugging ability,1,unusual word
13233,the Testing Pyramid,1,in sample of hard skills
13234,continuous integration,1,in sample of hard skills
13235,CI/CD) tools,1,more than one capital letter
13236,TeamCity,1,more than one capital letter
13237,Octopus,1,in sample of hard skills
13238,different authentication,1,in sample of hard skills
13239,JSON data,1,more than one capital letter
13240,a recognised professional qualification,0,not detected as hard skill
13241,highway geometric design,1,in sample of hard skills
13242,the DMRB,1,more than one capital letter
13243,desirably Manual,1,unusual word
13244,Bentley MX,1,not in english dictionary
13245,Civils,1,unusual word
13246,CAD software packages,1,in sample of hard skills
13247,e.g. AutoCAD,1,in sample of hard skills
13248,desirably PDS Sign,1,unusual word
13249,Excellent written and verbal communication skills,1,in sample of hard skills
13250,corporate commitments,1,in sample of hard skills
13251,deliverables,1,unusual word
13252,standard data specifications,1,in sample of hard skills
13253,non-ERT standard client file specifications,1,in sample of hard skills
13254,transfer specifications,1,in sample of hard skills
13255,SAS programs,1,in sample of hard skills
13256,specifically vertical file,1,in sample of hard skills
13257,incremental data file requirements,1,in sample of hard skills
13258,Functional and Technical Specifications,1,in sample of hard skills
13259,specifications,0,not detected as hard skill
13260,ad-hoc programs,0,not detected as hard skill
13261,Esoteric quality control checks,1,in sample of hard skills
13262,QC b) Data resolution/mining c,1,more than one capital letter
13263,Systems Analysts,1,in sample of hard skills
13264,conjunction,0,not detected as hard skill
13265,SOPs,1,more than one capital letter
13266,improved CDP Procedures,1,more than one capital letter
13267,any attachments,0,not detected as hard skill
13268,QUALIFICATIONS,1,more than one capital letter
13269,BASE SAS products,1,in sample of hard skills
13270,the pharmaceutical drug development process,1,in sample of hard skills
13271,the pharmaceutical or healthcare industry,1,in sample of hard skills
13272,analytical and communication skills,1,in sample of hard skills
13273,DB programming,1,in sample of hard skills
13274,the discretion,0,not detected as hard skill
13275,the above listed qualifications,0,not detected as hard skill
