Data,Result,Reason
Familiarity,0,not detected as hard skill
XCode,1,more than one capital letter
unit testing frameworks,1,in sample of hard skills
JavaScript,1,in sample of hard skills
GIT,1,in sample of hard skills
"a readable, maintainable, and well-tested code",1,unusual word
offline storage,1,in sample of hard skills
threading,1,unusual word
performance tuning,1,in sample of hard skills
Strong analytical skills,0,not detected as hard skill
optimization,1,in sample of hard skills
ReactNative,1,more than one capital letter
Redux,1,unusual word
socket-io,0,not detected as hard skill
TypeScript,1,more than one capital letter
Native Debugger,1,unusual word
CLI,1,more than one capital letter
Material DesignVisual Studio Code,1,in sample of hard skills
GIT,1,in sample of hard skills
XCode,1,more than one capital letter
Android Developer Studio Lite DatabaseSQLite,1,in sample of hard skills
RoomDB,1,more than one capital letter
JSON,1,more than one capital letter
Native Native iOS,1,more than one capital letter
the DevOps and Automation Community,1,in sample of hard skills
build & deployment issues,1,in sample of hard skills
continuous integration,1,in sample of hard skills
deployment,1,in sample of hard skills
"•	5+ years Continuous Integration, Build & Deployment Automation skills",1,in sample of hard skills
Linux/Unix System environments,1,in sample of hard skills
"Groovy, Ant",0,not detected as hard skill
Perl,1,unusual word
Python,0,not detected as hard skill
•	A Qualification,0,not detected as hard skill
either ITIL fundamentals,1,more than one capital letter
DevOps,1,in sample of hard skills
the DevOps and Automation Community,1,in sample of hard skills
build & deployment issues,1,in sample of hard skills
continuous integration,1,in sample of hard skills
deployment,1,in sample of hard skills
"•	5+ years Continuous Integration, Build & Deployment Automation skills",1,in sample of hard skills
Linux/Unix System environments,1,in sample of hard skills
"Groovy, Ant",0,not detected as hard skill
Perl,1,unusual word
Python,0,not detected as hard skill
•	A Qualification,0,not detected as hard skill
either ITIL fundamentals,1,more than one capital letter
DevOps,1,in sample of hard skills
Research Assistant Level - Undergraduate degree,1,in sample of hard skills
Research Associate Level - A PhD,1,more than one capital letter
Demonstrable knowledge,1,unusual word
"Python, C/C++",1,in sample of hard skills
MATLAB,1,more than one capital letter
Demonstrable knowledge,1,unusual word
cloud computing platforms,1,in sample of hard skills
AWS,1,in sample of hard skills
deployment,1,in sample of hard skills
automation,1,in sample of hard skills
continuous deployment,1,in sample of hard skills
containers,0,not detected as hard skill
large greenfield projects,1,not in english dictionary
the full development lifecycle,1,in sample of hard skills
SAAS,1,in sample of hard skills
API,1,in sample of hard skills
Node.js,0,not detected as hard skill
Agile Software Development,1,in sample of hard skills
JavaScript,1,in sample of hard skills
Vue.js,1,unusual word
Vuex,1,unusual word
Postgres Experience,1,unusual word
CSS,1,more than one capital letter
exceptional customer service,1,in sample of hard skills
a proactive approach,0,not detected as hard skill
Aftermarket & Fleet business,1,in sample of hard skills
Brigade Group,0,not detected as hard skill
Troubleshooting and customer support,1,unusual word
application documentation,1,in sample of hard skills
CAD technical drawings,1,in sample of hard skills
specifications,0,not detected as hard skill
installation instructions,0,not detected as hard skill
house assembly/modification,0,not detected as hard skill
application installations/projects,1,in sample of hard skills
Brigade products,1,in sample of hard skills
quotes/tender documentation,1,in sample of hard skills
initial fittings,0,not detected as hard skill
initial fittings,0,not detected as hard skill
methodical approach,0,not detected as hard skill
software artefacts,1,in sample of hard skills
automated tests,1,in sample of hard skills
selenium,1,unusual word
a manual QA,1,in sample of hard skills
REST APIs,1,more than one capital letter
a willingness,0,not detected as hard skill
Web Test and Web Test Automation,1,in sample of hard skills
Architects,0,not detected as hard skill
strong organisational skills,0,not detected as hard skill
a dynamic and agile environment,1,in sample of hard skills
SaaS services,1,more than one capital letter
Azure DevOps,1,in sample of hard skills
Agile teams,1,in sample of hard skills
Agile methodologies,1,in sample of hard skills
ceremonies,0,not detected as hard skill
a Lead full-stack developer,1,in sample of hard skills
Excellent JavaScript,1,in sample of hard skills
NodeJS,1,more than one capital letter
frameworks,1,in sample of hard skills
Bootstrap and/or Express API,1,unusual word
data modelling,1,in sample of hard skills
databases,0,not detected as hard skill
MySQL,1,in sample of hard skills
Postgres,1,unusual word
service-oriented architecture,1,in sample of hard skills
microservices,1,unusual word
deployment,1,in sample of hard skills
cloud providers - AWS,1,in sample of hard skills
Azure,1,in sample of hard skills
Continuous Integration,1,in sample of hard skills
microservice,1,unusual word
automated testing,1,in sample of hard skills
functional and integration tests,1,in sample of hard skills
an EHR,1,more than one capital letter
EMR,1,in sample of hard skills
Clinical Data Repository,1,in sample of hard skills
Wi-Fi,0,not detected as hard skill
project lifecycle,1,in sample of hard skills
new vulnerabilities,0,not detected as hard skill
project & compliance security testing,1,in sample of hard skills
relevant stakeholders,1,not in english dictionary
strong influencing,0,not detected as hard skill
a UI,1,in sample of hard skills
JS,1,in sample of hard skills
TS,1,more than one capital letter
Angular and Restful API,1,unusual word
3D Graphical data,1,in sample of hard skills
our flagship product development,1,in sample of hard skills
the MVP,1,more than one capital letter
the lifecycle,1,in sample of hard skills
product-team-based initiatives,1,in sample of hard skills
methodologies,0,not detected as hard skill
your own skillset,1,unusual word
Liaise,1,unusual word
stakeholders,1,not in english dictionary
 Liaise,1,unusual word
stakeholders,1,not in english dictionary
successful integrations,1,in sample of hard skills
adoptions,1,unusual word
descriptive examples,0,not detected as hard skill
a knack,0,not detected as hard skill
 Proactive attitude,0,not detected as hard skill
the incremental improvement,0,not detected as hard skill
greenfield and innovation projects,1,not in english dictionary
their own technical constraints,1,in sample of hard skills
stakeholders,1,not in english dictionary
SQL Server,1,in sample of hard skills
databases,0,not detected as hard skill
documentation,1,in sample of hard skills
the development lifecycle,1,in sample of hard skills
HTML,1,in sample of hard skills
CSS,1,more than one capital letter
JavaScript,1,in sample of hard skills
troubleshooting,1,unusual word
Programmatic advertising yield management,1,unusual word
key KPIs,1,in sample of hard skills
optimisations,1,unusual word
QA custom ad creatives,1,more than one capital letter
templates,0,not detected as hard skill
the technical deployment,1,in sample of hard skills
both direct and programmatic campaigns,1,in sample of hard skills
programmatic channels,1,unusual word
third party queries,0,not detected as hard skill
Invoice handling,1,in sample of hard skills
HTML,1,in sample of hard skills
CSS,1,more than one capital letter
JavaScript,1,in sample of hard skills
QA and debug code,1,more than one capital letter
Critical and methodical thinking,1,in sample of hard skills
Basic Github experience,1,not in english dictionary
Microsoft Excel,1,in sample of hard skills
a web analytics suite,1,in sample of hard skills
display advertising concepts,0,not detected as hard skill
ad servers,1,in sample of hard skills
low carbon and sustainable aspects,0,not detected as hard skill
the greener futures team,0,not detected as hard skill
deployment,1,in sample of hard skills
ECM,1,more than one capital letter
carbon reductions,0,not detected as hard skill
accurate predicted running costs,0,not detected as hard skill
Appropriate technical qualification,1,in sample of hard skills
HND,1,more than one capital letter
HNC,1,more than one capital letter
energy assessments,0,not detected as hard skill
solar PV,1,more than one capital letter
problem-solving skills,0,not detected as hard skill
Excel,0,not detected as hard skill
PowerPoint,1,more than one capital letter
technical excellence,1,in sample of hard skills
technical excellence,1,in sample of hard skills
a collaborative approach,0,not detected as hard skill
the Agile manifesto,1,in sample of hard skills
Javascript,1,not in english dictionary
SQL,1,in sample of hard skills
HTML/CSS/SCSS,1,in sample of hard skills
IaaS,1,more than one capital letter
PaaS,1,more than one capital letter
Orchestrating,1,unusual word
all other AWS cloud services,1,in sample of hard skills
compute,0,not detected as hard skill
AWS,1,in sample of hard skills
most AWS technologies,1,in sample of hard skills
IaC,1,more than one capital letter
coding standards,1,in sample of hard skills
cloud database management technologies,1,in sample of hard skills
industry frameworks,1,in sample of hard skills
AWS Well Architected Framework,1,in sample of hard skills
AWS native technologies,1,in sample of hard skills
e.g. EC2,1,in sample of hard skills
RDS,1,more than one capital letter
ELB,1,more than one capital letter
EBD,1,more than one capital letter
S3,1,in sample of hard skills
VPC,1,more than one capital letter
Glacier,0,not detected as hard skill
", IAM",1,in sample of hard skills
CloudWatch,1,more than one capital letter
KMS,1,more than one capital letter
•	AWS automation,1,in sample of hard skills
Orchestration,1,in sample of hard skills
•	AWS Security,1,in sample of hard skills
Networking,1,in sample of hard skills
•	Continuous Integration Pipelines,1,in sample of hard skills
Jenkins,1,not in english dictionary
Gitlab,1,unusual word
Sonarqube,1,unusual word
•	Scripting languages,0,not detected as hard skill
Python,0,not detected as hard skill
mastery,0,not detected as hard skill
the development lifecycle,1,in sample of hard skills
configuration,1,in sample of hard skills
optimization,1,in sample of hard skills
databases,0,not detected as hard skill
test automation tools,1,in sample of hard skills
DevOps processes,1,in sample of hard skills
(COTS,1,more than one capital letter
programming general purpose language Java,1,in sample of hard skills
innovative solutions,0,not detected as hard skill
troubleshooting,1,unusual word
Bachelor’s degree,1,in sample of hard skills
an accredited college,0,not detected as hard skill
general supervision,1,in sample of hard skills
Intermediate knowledge Industry software development methodologies,1,in sample of hard skills
architecture frameworks,1,in sample of hard skills
Intermediate proficiency,0,not detected as hard skill
Web Application Frameworks,1,in sample of hard skills
e.g. JSF,1,in sample of hard skills
Spring MVC,1,in sample of hard skills
Grails,1,unusual word
Intermediate proficiency,0,not detected as hard skill
modern ORM technology,1,more than one capital letter
e.g. Hibernate,1,in sample of hard skills
JPA,1,more than one capital letter
Intermediate proficiency,0,not detected as hard skill
modern DBMS technology,1,more than one capital letter
e.g. SQL Server,1,in sample of hard skills
Intermediate proficiency,0,not detected as hard skill
Java Applications,1,in sample of hard skills
Intermediate proficiency,0,not detected as hard skill
Angular,0,not detected as hard skill
Vue.. Intermediate proficiency,1,unusual word
modern DevOps tooling,1,in sample of hard skills
e.g. Subversion,1,in sample of hard skills
Git,0,not detected as hard skill
Maven,1,unusual word
proficiency,0,not detected as hard skill
Agile software development principles,1,in sample of hard skills
Groovy/Grails,1,unusual word
problem-solving skills,0,not detected as hard skill
innovative thinking skills,1,in sample of hard skills
Strong interpersonal skills,0,not detected as hard skill
a collaborative and team environment,0,not detected as hard skill
Incumbent,0,not detected as hard skill
COVID-19,1,more than one capital letter
technical specifications,1,in sample of hard skills
reusable and scalable enterprise application assets,1,unusual word
workflows,1,unusual word
troubleshooting,1,unusual word
scalability,1,unusual word
required specifications,0,not detected as hard skill
Conduct code walkthrough sessions,1,in sample of hard skills
defects,0,not detected as hard skill
production deployment plan,1,in sample of hard skills
Java/JEE,1,in sample of hard skills
JavaScript,1,in sample of hard skills
ExtJS,1,more than one capital letter
HTML,1,in sample of hard skills
a Bachelors Degree,0,not detected as hard skill
progressive post-baccalaureate IT experience,1,unusual word
progressive post-baccalaureate IT experience,1,unusual word
Java/JEE,1,in sample of hard skills
JavaScript,1,in sample of hard skills
ExtJS,1,more than one capital letter
HTML,1,in sample of hard skills
relocation,0,not detected as hard skill
Incidental telecommuting,1,unusual word
EOE,1,more than one capital letter
resumes,0,not detected as hard skill
"Synechron, Inc.",1,unusual word
uscareer@synechron.com,1,unusual word
Designing User Interface,1,in sample of hard skills
web layout,1,in sample of hard skills
HTML/CSS practices,1,in sample of hard skills
customer dashboards,1,in sample of hard skills
periodical tests,0,not detected as hard skill
technical documentaion,1,in sample of hard skills
jQuery,1,unusual word
JSON,1,more than one capital letter
AJAX,1,more than one capital letter
API,1,in sample of hard skills
Python,0,not detected as hard skill
T-SQL,1,in sample of hard skills
   Familiarity,0,not detected as hard skill
HTML/CSS/BOOSTRAP,1,in sample of hard skills
MS SQL,1,in sample of hard skills
Object-Orientated Programming,1,in sample of hard skills
   BSc,1,more than one capital letter
our consultants,0,not detected as hard skill
Scala,0,not detected as hard skill
good microservices,1,unusual word
faults,0,not detected as hard skill
The Java Developer,1,in sample of hard skills
new transactional systems,1,unusual word
customer portals,1,in sample of hard skills
data warehouse solutions,1,in sample of hard skills
industry leading and cutting-edge technologies,1,in sample of hard skills
customer portals,1,in sample of hard skills
data warehouses,1,in sample of hard skills
diverse customer requirements,1,in sample of hard skills
an evolving technical roadmap,1,in sample of hard skills
competence,0,not detected as hard skill
relational databases,0,not detected as hard skill
Boot / Security / Data JPA / Data Elasticsearch / Kafka,1,in sample of hard skills
SQL,1,in sample of hard skills
PL/SQL,1,more than one capital letter
#NAME?,1,more than one capital letter
AntCI/CD,1,more than one capital letter
Git / Azure Devops / Jenkins / Bamboo,1,in sample of hard skills
"desktop, web/device based applications",1,in sample of hard skills
APIs,1,more than one capital letter
backend services,1,in sample of hard skills
premise,0,not detected as hard skill
TrakaWEB,1,more than one capital letter
Traka Touch,1,unusual word
Traka’s products,1,unusual word
distributed application architectures,1,in sample of hard skills
"high quality, secure, scalable, optimised and reusable code",1,in sample of hard skills
 Translate user stories,1,in sample of hard skills
functional software deliverables,1,in sample of hard skills
technical knowledge/documentation,1,in sample of hard skills
agile software development,1,in sample of hard skills
collaborative working,0,not detected as hard skill
empowerment,0,not detected as hard skill
honesty,0,not detected as hard skill
Entity Framework,1,in sample of hard skills
ASP.NET MVC,1,in sample of hard skills
HTML5,1,in sample of hard skills
Bootstrap,1,unusual word
jQuery,1,unusual word
WinForms,1,more than one capital letter
WPF,1,more than one capital letter
WCF,1,more than one capital letter
WebAPI2,1,more than one capital letter
Flutter,0,not detected as hard skill
Xamarin/MAUI,1,unusual word
highly scalable database platforms,1,unusual word
a DevOps environment,1,in sample of hard skills
frameworks,1,in sample of hard skills
#NAME?,1,more than one capital letter
wireframes,1,unusual word
#NAME?,1,more than one capital letter
Kotlin - RESTful APIs - GIT - Android Studio - Debugging - Software development lifecycle,1,in sample of hard skills
SDLC,1,more than one capital letter
strong functionality,1,in sample of hard skills
optimization,1,in sample of hard skills
an agile development team,1,in sample of hard skills
ASP.Net/C# MVC Pattern Javascript CSS SQL,1,in sample of hard skills
a scrum team,0,not detected as hard skill
6-8 Developers/Testers,0,not detected as hard skill
front-end UIs,1,more than one capital letter
API development,1,in sample of hard skills
your sprint planning,1,in sample of hard skills
professional certifications,0,not detected as hard skill
Net4.5,1,in sample of hard skills
Full-Stack skills,0,not detected as hard skill
a tendency,0,not detected as hard skill
HTML,1,in sample of hard skills
CSS,1,more than one capital letter
JavaScript/jQuery,1,in sample of hard skills
Angular/React,0,not detected as hard skill
WebAPI,1,more than one capital letter
/ WebServices / WebForms,1,in sample of hard skills
SQL Server and SQL databases,1,in sample of hard skills
ReSharper,1,more than one capital letter
Cloud-based development expertise,1,in sample of hard skills
preferably Azure,1,in sample of hard skills
Happy working Agile,1,in sample of hard skills
regular sprints,0,not detected as hard skill
TeamCity,1,more than one capital letter
CI,1,more than one capital letter
Wren’s custom,1,in sample of hard skills
Symfony,1,unusual word
project estimations,1,in sample of hard skills
all phases,0,not detected as hard skill
the development lifecycle,1,in sample of hard skills
business stakeholders,1,in sample of hard skills
object oriented PHP7 based systems,1,in sample of hard skills
the MVC approach,1,in sample of hard skills
MySQL,1,in sample of hard skills
 Demonstrable knowledge,1,unusual word
HTML,1,in sample of hard skills
CSS,1,more than one capital letter
JavaScript,1,in sample of hard skills
Ajax,0,not detected as hard skill
Git,0,not detected as hard skill
the Symfony,1,unusual word
the Doctrine ORM,1,more than one capital letter
RESTFul APIs,1,more than one capital letter
automated testing,1,in sample of hard skills
e.g. PHPUnit,1,in sample of hard skills
Selenium,1,unusual word
Behat,1,unusual word
agile project methodologies,1,in sample of hard skills
iterative design,1,unusual word
a continuous integration environment,1,in sample of hard skills
Linux,1,in sample of hard skills
a modern JavaScript framework,1,in sample of hard skills
"Angular, Vue, Web Components",1,unusual word
 HTML and CSS standards,1,in sample of hard skills
 3+ years demonstrable delivery,1,unusual word
"high-performing, accessible, responsible web products",1,in sample of hard skills
 Proficiency,0,not detected as hard skill
Python,0,not detected as hard skill
Ruby,0,not detected as hard skill
PHP,1,more than one capital letter
MySQL,1,in sample of hard skills
SOQL,1,more than one capital letter
Oracle,1,in sample of hard skills
MongoDB..  Experience,1,more than one capital letter
Salesforce technologies,1,in sample of hard skills
Apex,0,not detected as hard skill
Visualforce,1,in sample of hard skills
Lightning Web Client,1,in sample of hard skills
SOQL,1,more than one capital letter
 Experienced full stack developers,0,not detected as hard skill
third party/REST-based API,1,more than one capital letter
SQL databases,1,in sample of hard skills
 Good problem-solving skills,0,not detected as hard skill
component libraries,0,not detected as hard skill
performance optimization,1,in sample of hard skills
auditing,0,not detected as hard skill
bottlenecks,1,unusual word
 Familiarity,0,not detected as hard skill
CI/CD tools,1,more than one capital letter
BitBucket,1,in sample of hard skills
Jenkins,1,not in english dictionary
 Advanced JavaScript framework experience,1,in sample of hard skills
authoring plugins,1,unusual word
templates,0,not detected as hard skill
workflows,1,unusual word
 Dev experience,1,in sample of hard skills
modern JavaScript frameworks,1,in sample of hard skills
internal and external stakeholders,1,not in english dictionary
system deficiencies,1,in sample of hard skills
the timely completion,0,not detected as hard skill
approvals,0,not detected as hard skill
project deliverables,1,in sample of hard skills
an Agile and Product led environment,1,in sample of hard skills
desktop infrastructure incidents,1,in sample of hard skills
the wider End User Computing team,1,in sample of hard skills
effective local documentation,1,in sample of hard skills
methodologies,0,not detected as hard skill
application packaging,1,in sample of hard skills
deployment,1,in sample of hard skills
vulnerability,1,in sample of hard skills
patching,1,unusual word
external suppliers,0,not detected as hard skill
troubleshooting,1,unusual word
firewalls,1,unusual word
the acquiring,0,not detected as hard skill
installing,0,not detected as hard skill
service outages,1,in sample of hard skills
the automation,1,in sample of hard skills
routine tasks,0,not detected as hard skill
scripting,0,not detected as hard skill
more complex systems software configuration,1,in sample of hard skills
enhancement,1,in sample of hard skills
Implements domain solutions,1,in sample of hard skills
senior domain administrators,1,in sample of hard skills
Configures servers,1,unusual word
associated routers,1,unusual word
their smooth and reliable operation,0,not detected as hard skill
documentation,1,in sample of hard skills
domain configuration,1,in sample of hard skills
routing,1,in sample of hard skills
current documentation,1,in sample of hard skills
Java programming,1,in sample of hard skills
J2EE and web frameworks,1,more than one capital letter
Python scripting experience,1,in sample of hard skills
RDBMS,1,more than one capital letter
NoSQL,1,in sample of hard skills
Hadoop,1,in sample of hard skills
Rest APIs,1,more than one capital letter
Professional IT Certification.. Ability,1,more than one capital letter
tight deadlines,0,not detected as hard skill
(AWS,1,in sample of hard skills
minimal supervision,0,not detected as hard skill
Essential Characteristics BSc,1,more than one capital letter
BEng,1,more than one capital letter
Chartered Engineer,1,in sample of hard skills
CEng,1,more than one capital letter
Willingness,0,not detected as hard skill
site surveys,0,not detected as hard skill
Desirable Characteristics,0,not detected as hard skill
MSc,1,more than one capital letter
MEng,1,more than one capital letter
ETAP,1,more than one capital letter
DIgSILENT PowerFactory,1,more than one capital letter
AutoCAD,1,more than one capital letter
Python,0,not detected as hard skill
Django,1,not in english dictionary
MongoDB,1,more than one capital letter
AWS,1,in sample of hard skills
Strong CS/algorithms fundamentals,1,in sample of hard skills
Strong product intuition,1,in sample of hard skills
Entrepreneurial mindset,1,not in english dictionary
unstructured environments,1,unusual word
HNC,1,more than one capital letter
continuous improvement processes,0,not detected as hard skill
Excellent communication and numeracy skills,1,in sample of hard skills
Strong python skills,0,not detected as hard skill
Good containers,0,not detected as hard skill
AKS experience,1,in sample of hard skills
Strong problem-solving skills Responsibilities,0,not detected as hard skill
Python,0,not detected as hard skill
profiling,0,not detected as hard skill
large datasets,1,unusual word
best practise API designs,1,in sample of hard skills
software enhancements,1,in sample of hard skills
CI/CD,1,more than one capital letter
automation,1,in sample of hard skills
technical documentation,1,in sample of hard skills
haves,1,unusual word
Azure Storage,1,in sample of hard skills
(ideally Azure Functions,1,in sample of hard skills
Azure Webjobs,1,in sample of hard skills
Apache Spark,1,in sample of hard skills
Productionizing Machine Learning projects,1,unusual word
Pandas,0,not detected as hard skill
Dask,1,unusual word
big datasets,1,in sample of hard skills
Developing APIs,1,more than one capital letter
FastAPI,1,more than one capital letter
the remit,0,not detected as hard skill
NHSL,1,more than one capital letter
all desktop hardware,1,in sample of hard skills
a desktop related support role,1,in sample of hard skills
workload,1,in sample of hard skills
routine and project workloads,1,in sample of hard skills
 Strong organisational skills,0,not detected as hard skill
empathy,0,not detected as hard skill
 Strong documentation skills,1,in sample of hard skills
 Excellent customer service orientation,1,in sample of hard skills
 Teamwork,0,not detected as hard skill
Modelling,0,not detected as hard skill
propulsion,0,not detected as hard skill
auxiliary systems,1,in sample of hard skills
naval and commercial platforms,0,not detected as hard skill
interfaces,1,in sample of hard skills
control sequences,1,in sample of hard skills
configurable software components,1,unusual word
interfaces,1,in sample of hard skills
the full system lifecycle,1,in sample of hard skills
proprietary software packages,1,in sample of hard skills
software documentation,1,in sample of hard skills
full traceability,1,unusual word
the lifecycle,1,in sample of hard skills
the full software lifecycle,1,in sample of hard skills
documentation,1,in sample of hard skills
contractual internal/external design reviews,1,in sample of hard skills
delegated representative,0,not detected as hard skill
timescales,1,unusual word
bachelor’s degree,1,in sample of hard skills
Postgraduate Degree,0,not detected as hard skill
co-ordination skills,0,not detected as hard skill
mathematical modelling,0,not detected as hard skill
MSOffice,1,more than one capital letter
Visio,1,unusual word
system lifecycle processes,1,in sample of hard skills
traceability,1,unusual word
verification,1,in sample of hard skills
validation,1,in sample of hard skills
fidelity,0,not detected as hard skill
simulation,1,in sample of hard skills
Bids,0,not detected as hard skill
project lifecycle,1,in sample of hard skills
graphical modelling tools,1,in sample of hard skills
3D modelling,1,in sample of hard skills
a talented developer,1,in sample of hard skills
our Tech stack,1,in sample of hard skills
AWS,1,in sample of hard skills
Docker,1,unusual word
GraphQL,1,more than one capital letter
Redis,1,in sample of hard skills
MongoDB,1,more than one capital letter
Neo4j,0,not detected as hard skill
Grafana,1,unusual word
SQS,1,more than one capital letter
ElasticSearch,1,more than one capital letter
innovative solutions,0,not detected as hard skill
TDD,1,more than one capital letter
DDD,1,more than one capital letter
 Openness,0,not detected as hard skill
a safe and inclusive workplace,0,not detected as hard skill
 Curiosity,0,not detected as hard skill
proactivity,1,unusual word
teamspirit,1,unusual word
Ecochain,1,unusual word
(CET,1,more than one capital letter
DDD,1,more than one capital letter
Event sourcing,1,in sample of hard skills
their entire lifecycle,1,in sample of hard skills
deployment,1,in sample of hard skills
"an agile, cross-functional team",1,in sample of hard skills
Automated testing,1,in sample of hard skills
deployments,0,not detected as hard skill
static code analysis,1,in sample of hard skills
GitLab,1,more than one capital letter
API documentation,1,in sample of hard skills
terabytes,1,unusual word
JVM,1,more than one capital letter
Knowledge / willingness,1,in sample of hard skills
Grails framework,1,unusual word
any MVC framework,1,in sample of hard skills
Git,0,not detected as hard skill
SQL,1,in sample of hard skills
NoSQL,1,in sample of hard skills
different queuing solutions,0,not detected as hard skill
e.g. Kafka,1,in sample of hard skills
RabbitMQ,1,more than one capital letter
a timezone,1,unusual word
a database developer,1,in sample of hard skills
existing databases,0,not detected as hard skill
either PostgreSQL,1,more than one capital letter
Oracle,1,in sample of hard skills
 Strong SQL skills,1,in sample of hard skills
queries,0,not detected as hard skill
one or more procedural languages,0,not detected as hard skill
e.g. PL/SQL,1,in sample of hard skills
PL/PgSQL,1,more than one capital letter
 VCS,1,more than one capital letter
e.g. Git,1,in sample of hard skills
Gitlab,1,unusual word
 Linux administration,1,in sample of hard skills
basic shell scripting,0,not detected as hard skill
spatial data management,1,in sample of hard skills
 ETL tools,1,more than one capital letter
 Liquibase,1,unusual word
 Neo4J and non relational databases,1,in sample of hard skills
 Microsoft Azure,1,in sample of hard skills
 Kubernetes,1,in sample of hard skills
 Docker,1,unusual word
specifications,0,not detected as hard skill
technical viability,1,in sample of hard skills
conceptual designs,0,not detected as hard skill
specifications,0,not detected as hard skill
schematic design,1,in sample of hard skills
PCB layout,1,more than one capital letter
Altium Designer,1,unusual word
Design embedded software,1,in sample of hard skills
product failures,1,in sample of hard skills
"EMC, safety",1,more than one capital letter
EN601010,1,more than one capital letter
Design automated solutions,1,in sample of hard skills
the company QMS,1,more than one capital letter
A qualification,0,not detected as hard skill
the National Qualifications Framework,1,in sample of hard skills
equivalent vocational training,1,in sample of hard skills
 Analog design,1,in sample of hard skills
 Embedded microprocessor design,1,in sample of hard skills
 Embedded software design,1,in sample of hard skills
 PCB layout design,1,more than one capital letter
Altium,1,unusual word
 Good verbal and written communication,1,in sample of hard skills
Familiarity,0,not detected as hard skill
Familiarity,0,not detected as hard skill
JavaScript,1,in sample of hard skills
NodeJSDriven,1,more than one capital letter
"flexible, self-starter",1,in sample of hard skills
infectious positive energy,0,not detected as hard skill
ambiguity,0,not detected as hard skill
Familiarity,0,not detected as hard skill
React.js,0,not detected as hard skill
knowledge designing,1,in sample of hard skills
component-based architectures,1,in sample of hard skills
common UX patterns,1,in sample of hard skills
CSS,1,more than one capital letter
cross-browser cross-device layout skills,1,in sample of hard skills
SQL databases,1,in sample of hard skills
redis,1,in sample of hard skills
RESTful API development,1,more than one capital letter
an eCommerce company,1,in sample of hard skills
a fast-paced entrepreneurial start-up environment,1,in sample of hard skills
Object-Oriented PHP,1,in sample of hard skills
Bachelor,0,not detected as hard skill
Startup experience,1,in sample of hard skills
various workloads,1,unusual word
kafka,1,unusual word
graphql,1,unusual word
cache,1,in sample of hard skills
atlas mongodb,1,unusual word
aws rds,1,not in english dictionary
the full CI/CD lifecycle,1,more than one capital letter
cloud infrastructure strategies,1,in sample of hard skills
Bachelor's degree,1,in sample of hard skills
K8S,1,in sample of hard skills
the AWS ecosystem,1,in sample of hard skills
Experience designing,1,in sample of hard skills
scalable cloud-based architectures,1,unusual word
infrastructure provisioning,1,in sample of hard skills
K8S operators,1,in sample of hard skills
Demonstrable skills,1,unusual word
process redesign,1,in sample of hard skills
stakeholders,1,not in english dictionary
the Service Catalog,1,in sample of hard skills
most modules,1,in sample of hard skills
the ServiceNow platform,1,in sample of hard skills
Service Catalog items,1,in sample of hard skills
complex catalog development experience,1,in sample of hard skills
Server-side scripts,1,in sample of hard skills
ACLS,1,more than one capital letter
UI Actions,1,in sample of hard skills
UI Policies,1,in sample of hard skills
AJAX,1,more than one capital letter
Javascript,1,not in english dictionary
Angular,0,not detected as hard skill
Python,0,not detected as hard skill
Developing client-focused solutions,0,not detected as hard skill
the following modules - Incident Management,1,in sample of hard skills
CMDB,1,more than one capital letter
Service Portal,1,in sample of hard skills
ServiceNow development experience,1,in sample of hard skills
JavaScript,1,in sample of hard skills
Well developed and professional interpersonal skills,0,not detected as hard skill
all organizational levels,1,in sample of hard skills
performance bottlenecks,1,in sample of hard skills
Node.js,0,not detected as hard skill
Rust,0,not detected as hard skill
GraphQL,1,more than one capital letter
Kubernetes,1,in sample of hard skills
the various workflows,1,unusual word
multiple dimensions,1,in sample of hard skills
software performance tuning,1,in sample of hard skills
a great teammate,0,not detected as hard skill
craftsmanship,0,not detected as hard skill
a healthy academic curiosity,1,in sample of hard skills
data analytics,1,in sample of hard skills
profiling,0,not detected as hard skill
SQL query optimization and database internals,1,in sample of hard skills
Administered cloud service infrastructure,1,in sample of hard skills
GCP,1,in sample of hard skills
Startup experience,1,in sample of hard skills
test rigs,1,in sample of hard skills
fixtures,0,not detected as hard skill
Liaise,1,unusual word
Test Technicians,1,in sample of hard skills
test certificates,1,in sample of hard skills
subcontract and ancillary item purchase requisitions,1,unusual word
engineering qualification projects,1,in sample of hard skills
physical environmental testing/specifications,1,in sample of hard skills
 o Vibration,0,not detected as hard skill
humidity,0,not detected as hard skill
Altitude,0,not detected as hard skill
Salt fog,0,not detected as hard skill
Fatigue,0,not detected as hard skill
 Computer literacy,0,not detected as hard skill
" A personable, professional individual",1,unusual word
 Excellent written and verbal communication skills,1,in sample of hard skills
logical reasoning,0,not detected as hard skill
an Agile development environment,1,in sample of hard skills
sprint planning,1,in sample of hard skills
backlog grooming,0,not detected as hard skill
retrospectives,1,unusual word
sprint demos,0,not detected as hard skill
Implements web designs,1,in sample of hard skills
J.B. Hunt’s standards,1,in sample of hard skills
reliability,0,not detected as hard skill
maintainability,1,unusual word
Troubleshoots,1,unusual word
reliability,0,not detected as hard skill
application debugging,1,in sample of hard skills
their IDE,1,in sample of hard skills
documentation,1,in sample of hard skills
a visual modeling application,1,in sample of hard skills
an integrated README,1,more than one capital letter
builds,0,not detected as hard skill
